alphaCode,commonName,scientificName,ebirdCode
EUCD,Eurasian Collared-Dove,Streptopelia decaocto,eucdov
EUCO,Eurasian Coot,Fulica atra,eurcoo
EUCU,Eurasian Curlew,Numenius arquata,eurcur
EUDO,Eurasian Dotterel,Eudromias morinellus,eurdot
EGOS,Eurasian Goshawk,Astur gentilis,norgos1
EUHO,Eurasian Hobby,Falco subbuteo,eurhob
EUJA,Eurasian Jackdaw,Coloeus monedula,eurjac
EUKE,Eurasian Kestrel,Falco tinnunculus,eurkes
EUOY,Eurasian Oystercatcher,Haematopus ostralegus,euroys1
EUSI,Eurasian Siskin,Spinus spinus,eursis
EUSK,Eurasian Skylark,Alauda arvensis,skylar
ESPA,Eurasian Sparrowhawk,Accipiter nisus,eurspa1
ESPO,Eurasian Spoonbill,Platalea leucorodia,eurspo1
ETSP,Eurasian Tree Sparrow,Passer montanus,eutspa
EUWI,Eurasian Wigeon,Mareca penelope,eurwig
EUWO,Eurasian Woodcock,Scolopax rusticola,eurwoo
EUWR,Eurasian Wryneck,Jynx torquilla,eurwry
EUGP,European Golden-Plover,Pluvialis apricaria,eugplo
EGOL,European Goldfinch,Carduelis carduelis,eurgol
EHGU,European Herring Gull,Larus argentatus,euhgul1
EURO,European Robin,Erithacus rubecula,eurrob1
EUST,European Starling,Sturnus vulgaris,eursta
